"EMPLOYER_STATE_PROVINCE","EMPLOYER_CITY","EMPLOYER_POSTAL_CODE","count"
"ILLINOIS","LA GRANGE","60525",13
"ILLINOIS","NORTH CHICAGO","60064",13
"KANSAS","OVERLAND PARK","66211",13
"KENTUCKY","LEXINGTON","40502",13
"MARYLAND","CLARKSBURG","20871",13
"MASSACHUSETTS","CAMBRIDGE","02141",13
"MASSACHUSETTS","FRAMINGHAM","01702",13
"MASSACHUSETTS","MARLBOROUGH","01752",13
"NEW JERSEY","CRANBURY","08512",13
"NEW JERSEY","EAST HANOVER","07936",13
"NEW JERSEY","FLEMINGTON","08822",13
"NEW JERSEY","HILLSBOROUGH","08844",13
"NEW JERSEY","JERSEY CITY","07311",13
"NEW JERSEY","PARLIN","08859",13
"NEW YORK 10020","NEW YORK","10020",13
"RHODE ISLAND","PROVIDENCE","02903",13
"SOUTH CAROLINA","GREENVILLE","29611",13
"TENNESSEE","COLLIERVILLE","38017",13
"TEXAS","HOUSTON","77046",13
"TEXAS EL PASO","EL PASO","79927",13
"UTAH","MIDVALE","84047",13
"VIRGINIA","ALEXANDRIA","22314",13
"WISCONSIN","MADISON","53783",13
"ARKANSAS","LITTLE ROCK","72205",12
"CALIFORNIA","BURLINGAME","94010",12
"CALIFORNIA","CERRITOS","90703",12
"CALIFORNIA","CITY OF INDUSTRY","91748",12
"CALIFORNIA","MISSION VIEJO","92691",12
"CALIFORNIA CA","IRVINE","92618",12
"CONNECTICUT","DANBURY","06810",12
"CONNECTICUT","NORWALK","06854",12
"ILLINOIS","CHICAGO","60602",12
"ILLINOIS","CHICAGO","60640",12
"INDIANA","INDIANAPOLIS","46239",12
"MARYLAND","BALTIMORE","21202",12
"MARYLAND","GREENBELT","20770",12
"MICHIGAN","FARMINGTON","48335",12
"MICHIGAN","LIVONIA","48152",12
"MISSOURI","SAINT PETER'S","63376",12
"MISSOURI","ST. LOUIS","63164",12
"MISSOURI","ST. PETERS","63376",12
"NEBRASKA","OMAHA","68106",12
"NEW JERSEY","PARAMUS","07652",12
"NEW YORK","FOREST HILLS","11375",12
"NEW YORK","NEW YORK","10027",12
"OHIO","CLEVELAND","44195",12
"OHIO","WOOSTER","44691",12
"TENNESSEE","KNOXVILLE","37919",12
"TENNESSEE","MEMPHIS","38103",12
"TEXAS","CARROLLTON","75006",12
"TEXAS","DALLAS","75229",12
"TEXAS","HOUSTON","77027",12
"TEXAS","HOUSTON","77040",12
"TEXAS","THRALL","76578",12
"CALIFORNIA","COMPTON","90220",11
"CALIFORNIA","COSTA MESA","92626",11
"CALIFORNIA","EMERYVILLE","94608",11
"CALIFORNIA","FOUNTAIN VALLEY","92708",11
"CALIFORNIA","FREMONT","94539",11
"CALIFORNIA","IRVINE","92606",11
"CALIFORNIA","LOS ALTOS","94022",11
"CALIFORNIA","LOS ANGELES","90025",11
"CALIFORNIA","MOUNTAIN VIEW","94040",11
"CALIFORNIA","VALENCIA","91355",11
"CALIFORNIA","WALNUT CREEK","94597",11
"DELAWARE","WILMINGTON","19801",11
"FLORIDA","CORAL GABLES","33146",11
"FLORIDA","DORAL","33122",11
"FLORIDA","MIAMI","33126",11
"GEORGIA","ALPHARETTA","30004",11
"GEORGIA","CUMMING","30040",11
"GEORGIA","LAWRENCEVILLE","30046",11
"ILLINOIS","CHICAGO","60610",11
"ILLINOIS","LAKE FOREST","60045",11
"ILLINOIS","PEORIA","61629-7310",11
"LOUISIANA","BATON ROUGE","70817",11
"MARYLAND","CHEVY CHASE","20815",11
"MARYLAND","COLUMBIA","21045",11
"MARYLAND","ELLICOTT CITY","21043",11
"MICHIGAN","CANTON","48187",11
"MICHIGAN","SOUTHFIELD","48034",11
"MISSOURI","ST. LOUIS","63167",11
"NEW HAMPSHIRE","ENFIELD","03748",11
"NEW JERSEY","ENGLEWOOD CLIFFS","07632",11
"NEW JERSEY","FORT LEE","07024",11
"NEW YORK","ELMONT","11003",11
"NEW YORK","NEW YORK","10012",11
"NEW YORK","NEW YORK","10119",11
"OHIO","COLUMBUS","43231",11
"OREGON","BEAVERTON","97005",11
"SOUTH CAROLINA","GARDEN CITY","29576",11
"TENNESSEE","NASHVILLE","37203",11
"TEXAS","CEDAR PARK","78613",11
"TEXAS","DENVER CITY","79323",11
"TEXAS","FARMERS BRANCH","75234",11
"TEXAS","LAREDO","78041",11
"VIRGINIA","LEESBURG","20175",11
"ARIZONA","SCOTTSDALE","85255",10
"CALIFORNIA","BRAWLEY","92227",10
"CALIFORNIA","GARDENA","90248",10
"CALIFORNIA","PASADENA","91107",10
"CALIFORNIA","SAN DIEGO","92122",10
"CALIFORNIA","SAN MATEO","94401",10
"CALIFORNIA","SANTA CLARA","95050",10
"COLORADO","DENVER","80202",10
"CONNECTICUT","NORWALK","06850",10
"FLORIDA","HIALEAH","33014",10
"FLORIDA","MIAMI","33137",10
"FLORIDA","MIAMI","33142",10
"FLORIDA","MIAMI","33172",10
"GEORGIA","LAWRENCEVILLE","30043",10
"ILLINOIS","LISLE","60532",10
"ILLINOIS","ROLLING MEADOWS","60008",10
"ILLINOIS","SCHAUMBURG","60195",10
"LOUISIANA","LAKE CHARLES","70606",10
"MASSACHUSETTS","NORTH READING","01864",10
